GAUGE_NO,STATION_NM,STATE,DA_SQ_KM,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV,GOTQ,HUC,startDT
6052500,"Gallatin River at Logan, MT",MT,4649.03205,-111.4382983,45.8852061,-111.4382858,45.88536072,17.195,88,0.798,0.067,1,18931001,20040930,32294,32294,130,210,334,415,550,590,618,688,750,833,940,1020,1170,2100,3240,5460.5,9840,1057.637,986.123,1,10020008,1893-10-01
6126050,"Musselshell River near Lavina, MT",MT,7692.2703,-108.8926547,46.2927361,-108.8927307,46.29236984,41.04,7,0.585,0.094,1,19920328,20040930,2842,2834,0,0.33,2.4,5.7,18,33,47,80.2,132.5,170,213,239,285,465.7,731.7,1735.7,5850,220.672,393.287,1,10040201,3/28/92
6123030,"Musselshell River above Mud Creek near Shawmut, MT",MT,nan,-109.4604561,46.3185686,-109.4605713,46.31897354,45.777,3,0.424,0.153,1,19980601,20030930,1201,1201,0.18,0.792,1.3,2.1,4.2,5.4,8.2,14,22,38.2,54,67,78.6,129.8,196.9,416.88,661,51.374,78.926,1,10040201,6/1/98
6120500,"Musselshell River at Harlowton, MT",MT,2913.73875,-109.8407389,46.42995639,-109.8411331,46.42884827,126.543,96,0.617,0.115,1,19070801,20040930,35065,34282,0,0,8.1,24,40,45,50,60,74,90,116,134,165,352,616,1303.4,6200,152.943,260.059,1,10040201,8/1/07
6119600,"Musselshell River near Martinsdale, MT",MT,nan,-110.2490767,46.4768933,-110.24897,46.47696304,11.28,1,0.552,-999999,1,20030401,20040930,397,397,7.1,8.386,11,13,17,19,20,25,35,49,67.6,80,112,172,221.8,447.2,715,69.371,85.106,1,10040201,4/1/03
6126500,"Musselshell River near Roundup, MT",MT,10419.52977,-108.5726353,46.42801917,-108.5726318,46.42800522,1.569,58,0.552,0.145,1,19460601,20040930,21307,21280,0,1.8,7.8,17,33,40,48,70,95,130,174,200,239,428,729.2,1900,8180,200.338,385.75,1,10040202,6/1/46
6127500,"Musselshell River at Musselshell, MT",MT,11831.07432,-108.1090022,46.5230308,-108.108902,46.52244568,65.303,51,0.537,0.144,1,19280900,20040930,18775,18263,0,0,1.6,12,33,40,50,70,95,126,165,190,230,423,753,1840,8600,198.343,394.299,1,10040202,1928-09-00
6127060,"Willow Creek at U.S. Canal near Roundup, MT",MT,nan,-108.67903,46.55468713,-108.6788288,46.55432645,42.862,5,0.087,0.126,1,19950825,20040930,2010,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739,1.7,8.289,33,0.38,1.895,1,10040202,8/25/95
6127020,"Willow Creek above LMGA Reservoir near Roundup, MT",MT,nan,-108.6943836,46.59763778,-108.6937425,46.59778717,51.994,5,0.163,0.205,1,19951000,20040930,1952,574,0,0,0,0,0,0,0,0,0,0,0,0.2,0.45,1.9,4.9,9.347,150,0.77,3.96,1,10040202,1995-10-00
6130500,"Musselshell River at Mosby, MT",MT,20321.06154,-107.889,46.99471,-107.8891144,46.99471283,8.746,73,0.409,0.151,1,19290500,20040930,26969,24175,0,0,0,0,12,25,35,55,80,110,157,195,250,558,1090,3223,15700,258.222,699.532,1,10040205,1929-05-00
6186500,"Yellowstone River at Yellowstone Lake Outlet, YNP",WY,2566.68009,-110.3807556,44.56744139,-110.380394,44.56714249,43.929,75,0.955,0.025,1,19261000,20040930,27396,27396,100,170,260,340,428,460,503,582,676,870,1280,1620,2110,3460,4500,6530,9930,1330.092,1426.467,1,10070001,1926-10-00
6187950,"Soda Butte Creek near Lamar Ranger Station, YNP",WY,256.40901,-110.1654686,44.8682733,-110.1657639,44.86862946,45.982,15,0.698,0.057,1,19881001,20030930,5478,5478,12,15,18,21,25,26,27,32,42,55,87,121,196,482.1,693,1132.1,2070,148.077,243.026,1,10070001,10/1/88
6188000,"Lamar River near Tower Falls Ranger Station, YNP",WY,1709.3934,-110.3938099,44.92771567,-110.3942566,44.92821121,65.435,62,0.642,0.102,1,19230500,20030930,22769,22769,45,70,85,90,110,115,120,150,186,252,420,638,1100,2980,4470,7630,15600,879.089,1614.704,1,10070001,1923-05-00
